"id","user_id","student_name_id","classtime_id","course_id","date","attendance_status","attendance_by","created_at","updated_at"
"1","2","435",NULL,NULL,"2079-03-13","0","4","2022-06-28 04:35:06","2022-06-28 04:35:06"
"2","2","506",NULL,NULL,"2079-03-13","0","4","2022-06-28 04:35:06","2022-06-28 04:35:06"
"3","2","509",NULL,NULL,"2079-03-13","0","4","2022-06-28 04:35:06","2022-06-28 04:35:06"
"4","2","63",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:48:55","2022-06-28 04:48:55"
"5","2","64",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:48:55","2022-06-28 04:48:55"
"6","2","67",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:48:55","2022-06-28 04:48:55"
"7","2","68",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:48:55","2022-06-28 04:48:55"
"8","2","74",NULL,NULL,"2079-03-13","0","17","2022-06-28 04:48:55","2022-06-28 04:48:55"
"9","2","90",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:49:43","2022-06-28 04:49:43"
"10","2","90",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:50:08","2022-06-28 04:50:08"
"11","2","63",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"12","2","64",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"13","2","67",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"14","2","68",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"15","2","136",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"16","2","206",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"17","2","224",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"18","2","225",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"19","2","230",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"20","2","231",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"21","2","252",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"22","2","274",NULL,NULL,"2079-03-13","1","17","2022-06-28 04:54:33","2022-06-28 04:54:33"
"23","2","43",NULL,NULL,"2079-03-13","1","13","2022-06-28 04:56:12","2022-06-28 04:56:12"
"25","2","248",NULL,NULL,"2079-03-13","1","13","2022-06-28 04:56:12","2022-06-28 04:56:12"
"26","2","90",NULL,NULL,"2079-03-13","1","17","2022-06-28 05:13:05","2022-06-28 05:13:05"
"27","2","211",NULL,NULL,"2079-03-13","1","17","2022-06-28 05:13:05","2022-06-28 05:13:05"
"28","2","221",NULL,NULL,"2079-03-13","1","17","2022-06-28 05:13:05","2022-06-28 05:13:05"
"29","2","319",NULL,NULL,"2079-03-13","1","17","2022-06-28 05:13:05","2022-06-28 05:13:05"
"30","2","436",NULL,NULL,"2079-03-13","1","17","2022-06-28 05:13:05","2022-06-28 05:13:05"
